,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRFRAME LOGBOOK,,,,,,,,,,,,,ENGINE LOGBOOK  LH,,,,,,,,,,,ENGINE LOGBOOK  RH,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Registry No.:,RP-C8015,,,,,,,SN:,20536,,,,Registry No.:,RP-C8015,,,,,,Eng. SN:,P-674544,,,Registry No.:,RP-C8015,,,,,,Eng. SN:,P-674548,
DATE,CYCLES,TAC,FLT TIME,,TAT,,BLOCK,,TOT BLOCK,,,,DATE,CYCLES,CSN,CSO,FLT TIME,,TSN,,TSO,,,DATE,CYCLES,CSN,CSO,FLT TIME,,TSN,,TSO,
,,,h,m,h,m,h,m,h,m,,,,,,,h,m,h,m,h,m,,,,,,h,m,h,m,h,m
Totals brought forward:,,"  42,254 ",,,"  45,438 ",:23,,,,,,,Totals brought forward:,,"  23,428 ","  3,739 ",,,"  23,860 ",:16,"  3,770 ",:12,,Totals brought forward:,,"  28,256 ","  10,317 ",,,"  29,229 ",:47,"  11,042 ",:42
30-Dec-05,1,"  42,255 ",1,:08,"  45,439 ",:31,1,:28,1,:28,,,30-Dec-05,1,"  23,429 ","  3,740 ",1,:08,"  23,861 ",:24,"  3,771 ",:20,,30-Dec-05,1,"  28,257 ","  10,318 ",1,:08,"  29,230 ",:55,"  11,043 ",:50
06-Jan-05,1,"  42,256 ",2,:11,"  45,441 ",:42,2,:45,4,:13,,,06-Jan-05,1,"  23,430 ","  3,741 ",2,:11,"  23,863 ",:35,"  3,773 ",:31,,06-Jan-05,1,"  28,258 ","  10,319 ",2,:11,"  29,233 ",:06,"  11,046 ",:01
07-Jan-06,2,"  42,258 ",6,:35,"  45,448 ",:17,7,:07,11,:20,,,07-Jan-06,2,"  23,432 ","  3,743 ",6,:35,"  23,870 ",:10,"  3,780 ",:06,,07-Jan-06,2,"  28,260 ","  10,321 ",6,:35,"  29,239 ",:41,"  11,052 ",:36
09-Jan-06,2,"  42,260 ",6,:41,"  45,454 ",:58,7,:13,18,:33,,,09-Jan-06,2,"  23,434 ","  3,745 ",6,:41,"  23,876 ",:51,"  3,786 ",:47,,09-Jan-06,2,"  28,262 ","  10,323 ",6,:41,"  29,246 ",:22,"  11,059 ",:17
10-Jan-06,1,"  42,261 ",2,:28,"  45,457 ",:26,2,:49,21,:22,,,10-Jan-06,1,"  23,435 ","  3,746 ",2,:28,"  23,879 ",:19,"  3,789 ",:15,,10-Jan-06,1,"  28,263 ","  10,324 ",2,:28,"  29,248 ",:50,"  11,061 ",:45
11-Jan-06,3,"  42,264 ",9,:53,"  45,467 ",:19,10,:36,31,:58,,,11-Jan-06,3,"  23,438 ","  3,749 ",9,:53,"  23,889 ",:12,"  3,799 ",:08,,11-Jan-06,3,"  28,266 ","  10,327 ",9,:53,"  29,258 ",:43,"  11,071 ",:38
12-Jan-06,1,"  42,265 ",1,:41,"  45,469 ",:00,2,:00,33,:58,,,12-Jan-06,1,"  23,439 ","  3,750 ",1,:41,"  23,890 ",:53,"  3,800 ",:49,,12-Jan-06,1,"  28,267 ","  10,328 ",1,:41,"  29,260 ",:24,"  11,073 ",:19
24-Jan-06,2,"  42,267 ",0,:52,"  45,469 ",:52,1,:21,35,:19,,,24-Jan-06,2,"  23,441 ","  3,752 ",0,:52,"  23,891 ",:45,"  3,801 ",:41,,24-Jan-06,2,"  28,269 ","  10,330 ",0,:52,"  29,261 ",:16,"  11,074 ",:11
25-Jan-06,2,"  42,269 ",1,:06,"  45,470 ",:58,1,:23,36,:42,,,25-Jan-06,2,"  23,443 ","  3,754 ",1,:06,"  23,892 ",:51,"  3,802 ",:47,,25-Jan-06,2,"  28,271 ","  10,332 ",1,:06,"  29,262 ",:22,"  11,075 ",:17
08-Mar-06,5,"  42,274 ",6,:32,"  45,477 ",:30,7,:58,44,:40,,,08-Mar-06,5,"  23,448 ","  3,759 ",6,:32,"  23,899 ",:23,"  3,809 ",:19,,08-Mar-06,5,"  28,276 ","  10,337 ",6,:32,"  29,268 ",:54,"  11,081 ",:49
16-Mar-06,5,"  42,279 ",6,:26,"  45,483 ",:56,7,:32,52,:12,,,16-Mar-06,5,"  23,453 ","  3,764 ",6,:26,"  23,905 ",:49,"  3,815 ",:45,,16-Mar-06,5,"  28,281 ","  10,342 ",6,:26,"  29,275 ",:20,"  11,088 ",:15
07-Apr-06,4,"  42,283 ",6,:08,"  45,490 ",:04,7,:04,59,:16,,,07-Apr-06,4,"  23,457 ","  3,768 ",6,:08,"  23,911 ",:57,"  3,821 ",:53,,07-Apr-06,4,"  28,285 ","  10,346 ",6,:08,"  29,281 ",:28,"  11,094 ",:23
17-Apr-06,5,"  42,288 ",7,:26,"  45,497 ",:30,8,:10,67,:26,,,17-Apr-06,5,"  23,462 ","  3,773 ",7,:26,"  23,919 ",:23,"  3,829 ",:19,,17-Apr-06,5,"  28,290 ","  10,351 ",7,:26,"  29,288 ",:54,"  11,101 ",:49
18-Apr-06,4,"  42,292 ",5,:44,"  45,503 ",:14,6,:36,74,:02,,,18-Apr-06,4,"  23,466 ","  3,777 ",5,:44,"  23,925 ",:07,"  3,835 ",:03,,18-Apr-06,4,"  28,294 ","  10,355 ",5,:44,"  29,294 ",:38,"  11,107 ",:33
19-Apr-06,4,"  42,296 ",5,:30,"  45,508 ",:44,6,:14,80,:16,,,19-Apr-06,4,"  23,470 ","  3,781 ",5,:30,"  23,930 ",:37,"  3,840 ",:33,,19-Apr-06,4,"  28,298 ","  10,359 ",5,:30,"  29,300 ",:08,"  11,113 ",:03
20-Apr-06,4,"  42,300 ",6,:09,"  45,514 ",:53,6,:53,87,:09,,,20-Apr-06,4,"  23,474 ","  3,785 ",6,:09,"  23,936 ",:46,"  3,846 ",:42,,20-Apr-06,4,"  28,302 ","  10,363 ",6,:09,"  29,306 ",:17,"  11,119 ",:12
21-Apr-06,4,"  42,304 ",5,:52,"  45,520 ",:45,6,:43,93,:52,,,21-Apr-06,4,"  23,478 ","  3,789 ",5,:52,"  23,942 ",:38,"  3,852 ",:34,,21-Apr-06,4,"  28,306 ","  10,367 ",5,:52,"  29,312 ",:09,"  11,125 ",:04
22-Apr-06,1,"  42,305 ",1,:43,"  45,522 ",:28,1,:52,95,:44,,,22-Apr-06,1,"  23,479 ","  3,790 ",1,:43,"  23,944 ",:21,"  3,854 ",:17,,22-Apr-06,1,"  28,307 ","  10,368 ",1,:43,"  29,313 ",:52,"  11,126 ",:47
25-Apr-06,4,"  42,309 ",6,:13,"  45,528 ",:41,7,:00,102,:44,,,25-Apr-06,4,"  23,483 ","  3,794 ",6,:13,"  23,950 ",:34,"  3,860 ",:30,,25-Apr-06,4,"  28,311 ","  10,372 ",6,:13,"  29,320 ",:05,"  11,133 ",:00
26-Apr-06,4,"  42,313 ",6,:26,"  45,535 ",:07,7,:11,109,:55,,,26-Apr-06,4,"  23,487 ","  3,798 ",6,:26,"  23,957 ",:00,"  3,866 ",:56,,26-Apr-06,4,"  28,315 ","  10,376 ",6,:26,"  29,326 ",:31,"  11,139 ",:26
27-Apr-06,4,"  42,317 ",6,:19,"  45,541 ",:26,7,:10,117,:05,,,27-Apr-06,4,"  23,491 ","  3,802 ",6,:19,"  23,963 ",:19,"  3,873 ",:15,,27-Apr-06,4,"  28,319 ","  10,380 ",6,:19,"  29,332 ",:50,"  11,145 ",:45
28-Apr-06,4,"  42,321 ",6,:30,"  45,547 ",:56,7,:08,124,:13,,,28-Apr-06,4,"  23,495 ","  3,806 ",6,:30,"  23,969 ",:49,"  3,879 ",:45,,28-Apr-06,4,"  28,323 ","  10,384 ",6,:30,"  29,339 ",:20,"  11,152 ",:15
29-Apr-06,4,"  42,325 ",6,:02,"  45,553 ",:58,7,:01,131,:14,,,29-Apr-06,4,"  23,499 ","  3,810 ",6,:02,"  23,975 ",:51,"  3,885 ",:47,,29-Apr-06,4,"  28,327 ","  10,388 ",6,:02,"  29,345 ",:22,"  11,158 ",:17
30-Apr-06,2,"  42,327 ",3,:00,"  45,556 ",:58,3,:33,134,:47,,,30-Apr-06,2,"  23,501 ","  3,812 ",3,:00,"  23,978 ",:51,"  3,888 ",:47,,30-Apr-06,2,"  28,329 ","  10,390 ",3,:00,"  29,348 ",:22,"  11,161 ",:17
08-Aug-06,1,"  42,328 ",0,:07,"  45,557 ",:05,0,:25,135,:12,,,08-Aug-06,1,"  23,502 ","  3,813 ",0,:07,"  23,978 ",:58,"  3,888 ",:54,,08-Aug-06,1,"  28,330 ","  10,391 ",0,:07,"  29,348 ",:29,"  11,161 ",:24
09-Aug-06,1,"  42,329 ",0,:13,"  45,557 ",:18,0,:25,135,:37,,,09-Aug-06,1,"  23,503 ","  3,814 ",0,:13,"  23,979 ",:11,"  3,889 ",:07,,09-Aug-06,1,"  28,331 ","  10,392 ",0,:13,"  29,348 ",:42,"  11,161 ",:37
19-Sep-06,1,"  42,330 ",0,:06,"  45,557 ",:24,0,:29,136,:06,,,19-Sep-06,1,"  23,504 ","  3,815 ",0,:06,"  23,979 ",:17,"  3,889 ",:13,,19-Sep-06,1,"  28,332 ","  10,393 ",0,:06,"  29,348 ",:48,"  11,161 ",:43
20-Sep-06,1,"  42,331 ",0,:40,"  45,558 ",:04,0,:50,136,:56,,,20-Sep-06,1,"  23,505 ","  3,816 ",0,:40,"  23,979 ",:57,"  3,889 ",:53,,20-Sep-06,1,"  28,333 ","  10,394 ",0,:40,"  29,349 ",:28,"  11,162 ",:23
21-Sep-06,2,"  42,333 ",1,:05,"  45,559 ",:09,1,:31,138,:27,,,21-Sep-06,2,"  23,507 ","  3,818 ",1,:05,"  23,981 ",:02,"  3,890 ",:58,,21-Sep-06,2,"  28,335 ","  10,396 ",1,:05,"  29,350 ",:33,"  11,163 ",:28
04-Oct-06,1,"  42,334 ",0,:25,"  45,559 ",:34,0,:50,139,:17,,,04-Oct-06,1,"  23,508 ","  3,819 ",0,:25,"  23,981 ",:27,"  3,891 ",:23,,04-Oct-06,1,"  28,336 ","  10,397 ",0,:25,"  29,350 ",:58,"  11,163 ",:53
06-Oct-06,,"  42,334 ",0,:00,"  45,559 ",:34,0,:23,139,:40,,,06-Oct-06,,"  23,508 ","  3,819 ",0,:00,"  23,981 ",:27,"  3,891 ",:23,,06-Oct-06,,"  28,336 ","  10,397 ",0,:00,"  29,350 ",:58,"  11,163 ",:53
09-Oct-06,1,"  42,335 ",0,:40,"  45,560 ",:14,1,:00,140,:40,,,09-Oct-06,1,"  23,509 ","  3,820 ",0,:40,"  23,982 ",:07,"  3,892 ",:03,,09-Oct-06,1,"  28,337 ","  10,398 ",0,:40,"  29,351 ",:38,"  11,164 ",:33
12-Oct-06,3,"  42,338 ",4,:21,"  45,564 ",:35,5,:19,145,:59,,,12-Oct-06,3,"  23,512 ","  3,823 ",4,:21,"  23,986 ",:28,"  3,896 ",:24,,12-Oct-06,3,"  28,340 ","  10,401 ",4,:21,"  29,355 ",:59,"  11,168 ",:54
13-Oct-06,4,"  42,342 ",5,:22,"  45,569 ",:57,6,:18,152,:17,,,13-Oct-06,4,"  23,516 ","  3,827 ",5,:22,"  23,991 ",:50,"  3,901 ",:46,,13-Oct-06,4,"  28,344 ","  10,405 ",5,:22,"  29,361 ",:21,"  11,174 ",:16
14-Oct-06,4,"  42,346 ",5,:18,"  45,575 ",:15,6,:42,158,:59,,,14-Oct-06,4,"  23,520 ","  3,831 ",5,:18,"  23,997 ",:08,"  3,907 ",:04,,14-Oct-06,4,"  28,348 ","  10,409 ",5,:18,"  29,366 ",:39,"  11,179 ",:34
15-Oct-06,4,"  42,350 ",5,:29,"  45,580 ",:44,6,:33,165,:32,,,15-Oct-06,4,"  23,524 ","  3,835 ",5,:29,"  24,002 ",:37,"  3,912 ",:33,,15-Oct-06,4,"  28,352 ","  10,413 ",5,:29,"  29,372 ",:08,"  11,185 ",:03
17-Oct-06,4,"  42,354 ",5,:36,"  45,586 ",:20,6,:24,171,:56,,,17-Oct-06,4,"  23,528 ","  3,839 ",5,:36,"  24,008 ",:13,"  3,918 ",:09,,17-Oct-06,4,"  28,356 ","  10,417 ",5,:36,"  29,377 ",:44,"  11,190 ",:39
18-Oct-06,4,"  42,358 ",5,:21,"  45,591 ",:41,6,:13,178,:09,,,18-Oct-06,4,"  23,532 ","  3,843 ",5,:21,"  24,013 ",:34,"  3,923 ",:30,,18-Oct-06,4,"  28,360 ","  10,421 ",5,:21,"  29,383 ",:05,"  11,196 ",:00
19-Oct-06,4,"  42,362 ",5,:15,"  45,596 ",:56,6,:02,184,:11,,,19-Oct-06,4,"  23,536 ","  3,847 ",5,:15,"  24,018 ",:49,"  3,928 ",:45,,19-Oct-06,4,"  28,364 ","  10,425 ",5,:15,"  29,388 ",:20,"  11,201 ",:15
20-Oct-06,4,"  42,366 ",5,:23,"  45,602 ",:19,6,:06,190,:17,,,20-Oct-06,4,"  23,540 ","  3,851 ",5,:23,"  24,024 ",:12,"  3,934 ",:08,,20-Oct-06,4,"  28,368 ","  10,429 ",5,:23,"  29,393 ",:43,"  11,206 ",:38
21-Oct-06,4,"  42,370 ",5,:24,"  45,607 ",:43,6,:11,196,:28,,,21-Oct-06,4,"  23,544 ","  3,855 ",5,:24,"  24,029 ",:36,"  3,939 ",:32,,21-Oct-06,4,"  28,372 ","  10,433 ",5,:24,"  29,399 ",:07,"  11,212 ",:02
22-Oct-06,4,"  42,374 ",5,:16,"  45,612 ",:59,5,:50,202,:18,,,22-Oct-06,4,"  23,548 ","  3,859 ",5,:16,"  24,034 ",:52,"  3,944 ",:48,,22-Oct-06,4,"  28,376 ","  10,437 ",5,:16,"  29,404 ",:23,"  11,217 ",:18
24-Oct-06,4,"  42,378 ",5,:23,"  45,618 ",:22,6,:07,208,:25,,,24-Oct-06,4,"  23,552 ","  3,863 ",5,:23,"  24,040 ",:15,"  3,950 ",:11,,24-Oct-06,4,"  28,380 ","  10,441 ",5,:23,"  29,409 ",:46,"  11,222 ",:41
25-Oct-06,4,"  42,382 ",5,:50,"  45,624 ",:12,6,:27,214,:52,,,25-Oct-06,4,"  23,556 ","  3,867 ",5,:50,"  24,046 ",:05,"  3,956 ",:01,,25-Oct-06,4,"  28,384 ","  10,445 ",5,:50,"  29,415 ",:36,"  11,228 ",:31
